"","Epoch","Iteration","learning_rate","num_leaves","max_depth","min_data_in_leaf","bagging_fraction","bagging_freq","feature_fraction","feature_fraction_bynode","lambda_l1","lambda_l2","tweedie_variance_power","gpUtility","acqOptimum","inBounds","Elapsed","Score","nrounds_wrmsse","rmse","nrounds_rmse","errorMessage"
"1",0,1,0.417270962812278,9268,4889,45,0.464688301522983,69,0.125396783120232,0.276170952687971,1.14093376828047,0.245676682796329,1.59900806889869,NA,FALSE,TRUE,12.6689999999999,-0.000120695372016342,985,0.210902493911844,987,NA
"2",0,2,0.394968958765191,1398,80,37,0.187406134180492,4,0.702378490299452,0.441571251302958,1.96309077336142,0.072499026505587,1.80193430233747,NA,FALSE,TRUE,4.99799999999959,-0.000196753795997432,79,0.309562273201621,133,NA
"3",0,3,0.0142477726138895,8747,3434,89,0.521532094420399,98,0.576518934819614,0.755722930980846,1.7334739047025,0.839874826682111,1.92795126994664,NA,FALSE,TRUE,17.018,-8.67063923471623e-05,1000,0.189229297027035,1000,NA
"4",0,4,0.257930641683633,7419,5603,72,0.646924854622921,86,0.804034269083059,0.686477373895468,1.42946744314395,1.60738850253013,1.43188055280247,NA,FALSE,TRUE,7.70399999999972,-3.59196158821971e-05,314,0.0714290128674225,323,NA
"5",0,5,0.223813089770847,7960,4089,92,0.134210630034795,40,0.501771037006984,0.39022429487668,0.0127265743600825,0.452594533368635,1.33173347703763,NA,FALSE,TRUE,7.76599999999962,-7.55219806042202e-05,592,0.13737246655853,401,NA
"6",0,6,0.57749818716528,109,583,19,0.928422940673772,9,0.396997645450756,0.477689885074506,0.645495808450505,0.558611120213754,1.68183120178874,NA,FALSE,TRUE,10.1170000000002,-0.000120130248140089,411,0.265562360974727,439,NA
"7",0,7,0.138298492456282,5369,5283,38,0.713324631407159,66,0.953780365362763,0.866501830256311,1.65938095593204,1.99109279147039,1.88207363360736,NA,FALSE,TRUE,7.10900000000038,-2.83776687888553e-05,305,0.0604067738800307,197,NA
"8",0,8,0.170842461508388,5994,2864,13,0.554344905092148,81,0.665975321579026,0.577522990724538,0.417588513305721,1.45718441787176,1.49786022476677,NA,FALSE,TRUE,12.3040000000001,-6.93461827932389e-05,624,0.143712670657745,330,NA
"9",0,9,0.0692571874892261,2031,1939,83,0.845830767514417,44,0.469399260688806,0.122927233151859,0.320727727298314,1.67513098672498,1.08767985568673,NA,FALSE,TRUE,9.98799999999937,-0.000120104647365635,1000,0.268617721462247,1000,NA
"10",0,10,0.323763580624169,4355,3855,66,0.275705760571873,56,0.243764464533888,0.229587284312584,0.855752255457143,1.16339413014551,1.19781075257924,NA,FALSE,TRUE,9.19900000000052,-7.00318498819569e-05,902,0.120029845516401,916,NA
"11",0,11,0.475734107339328,4135,1240,27,0.363846292800736,28,0.268204974464607,0.827479657466756,0.706456167196544,0.702970408756907,1.28792734505318,NA,FALSE,TRUE,7.14300000000003,-0.000124168794647709,100,0.233067239506294,161,NA
"12",0,12,0.542746299202942,2875,2411,56,0.896893400145927,25,0.90378181291162,0.993254569510464,1.24832710367627,1.17269933367303,1.05206152167462,NA,FALSE,TRUE,3.9489999999987,-1.78101461948581e-07,89,0.00131000741456234,90,NA
"13",1,13,0.6,2,4887,51,1,0,1,1,0,1.61240625936092,1,0.437350811013284,TRUE,TRUE,7.92900000000009,-2.7875134055033e-07,836,0.00106734952205117,916,NA
"14",2,14,0.6,10000,6000,49,1,100,1,1,0.589213947075977,1.45360857599638,1,0.388141314910156,TRUE,TRUE,3.19900000000052,-9.08997065395042e-08,28,0.000679615820398418,49,NA
"15",3,15,0.6,9667,6000,55,1,0,0.238973900602882,1,2,1.73251022159778,1,0.366305163952564,TRUE,TRUE,5.07400000000052,-0.000343265324775339,39,0.658100913357632,3,NA
"16",4,16,0.6,452,2471,78,0.984394727028648,100,0.976917369454301,0.303138942749649,0,0.00551599780392378,1.90845179399395,0.424867388408451,TRUE,TRUE,9.52499999999964,-2.69168899429892e-05,614,0.0611067517961199,331,NA
