"","tsid","Agg_Level_1","Agg_Level_2","lngth","ADI","CV2","pz","Type","Min","Low25","Mean","Median","Up25","Max"
"1",1,"Total","X",1913,1,0.0457562618708762,0,"Smooth",11,29654,34341.5624673288,33732,38689,57218
"2",2,"CA","X",1913,1,0.0472173531469359,0,"Smooth",5,12834,14989.8311552535,14678,16846,25224
"3",3,"TX","X",1913,1,0.0395590370679337,0,"Smooth",2,8608,9879.25039205436,9647,11171,18733
"4",4,"WI","X",1913,1,0.0732278565524657,0,"Smooth",1,7666,9472.48092002091,9327,11139,19669
"5",5,"CA_1","X",1913,1.00262054507338,0.0579752610003806,0.00261369576581286,"Smooth",0,3349,4024.15891270256,3902,4633,6948
"6",6,"CA_2","X",1913,1,0.0917147091610922,0,"Smooth",2,2318,2972.02038682697,2773,3453,6542
"7",7,"CA_3","X",1913,1.0005230125523,0.0416054805001061,0.000522739153162572,"Smooth",0,5104,5848.49973863042,5808,6567,9338
"8",8,"CA_4","X",1913,1.00262054507338,0.0370757081637433,0.00261369576581286,"Smooth",0,1875,2145.15211709357,2174,2430,3343
"9",9,"TX_1","X",1913,1.00157068062827,0.0425392296929297,0.00156821745948772,"Smooth",0,2535,2924.87820177731,2837,3315,5190
"10",10,"TX_2","X",1913,1.00157068062827,0.0425657686859753,0.00156821745948772,"Smooth",0,3245,3771.24098274961,3638,4286,6793
"11",11,"TX_3","X",1913,1,0.0458210592748926,0,"Smooth",1,2733,3183.13120752744,3162,3639,6750
"12",12,"WI_1","X",1913,1.00157068062827,0.135488807123939,0.00156821745948772,"Smooth",0,1857,2691.61630946158,2650,3313,6902
"13",13,"WI_2","X",1913,1.00104657247514,0.139904760156567,0.00104547830632514,"Smooth",0,2329,3420.81129116571,3502,4371,7852
"14",14,"WI_3","X",1913,1.00104657247514,0.0592545259000485,0.00104547830632514,"Smooth",0,2782,3360.05331939362,3254,3860,6065
"15",15,"HOBBIES","X",1913,1.00262054507338,0.0459334483416695,0.00261369576581286,"Smooth",0,2690,3201.67276529012,3178,3633,5360
"16",16,"HOUSEHOLD","X",1913,1.00209533787323,0.0817895700310562,0.00209095661265029,"Smooth",0,6054,7569.61317302666,7425,8933,13889
"17",17,"FOODS","X",1913,1,0.0433679885999163,0,"Smooth",11,20327,23570.276529012,23211,26661,38547
"18",18,"HOBBIES_1","X",1913,1.00262054507338,0.046082394741131,0.00261369576581286,"Smooth",0,2473,2925.48876110821,2897,3337,5009
