"","tsid","item_id","dept_id","cat_id","store_id","state_id","lngth","ADI","CV2","pz","Type","Min","Low25","Mean","Median","Up25","Max","dollar_sales","best_method"
"1",1,"HOBBIES_1_001","HOBBIES_1","HOBBIES","CA_1","CA_1",1012,2.40380047505938,0.270659563492063,0.58399209486166,"Intermittent",0,0,0.592885375494071,0,1,5,224.94,"MLP_l"
"2",2,"HOBBIES_1_002","HOBBIES_1","HOBBIES","CA_1","CA_1",1770,4.39303482587065,0.236115991470743,0.772881355932203,"Intermittent",0,0,0.278531073446328,0,0,5,7.94,"Naive"
"3",3,"HOBBIES_1_003","HOBBIES_1","HOBBIES","CA_1","CA_1",808,3.74074074074074,0.293023255813953,0.732673267326733,"Intermittent",0,0,0.356435643564356,0,1,6,47.52,"optCroston"
"4",4,"HOBBIES_1_004","HOBBIES_1","HOBBIES","CA_1","CA_1",1877,1.4483024691358,0.585485595960315,0.309536494405967,"Lumpy",0,0,1.75173148641449,1,3,15,236.64,"MLP_l"
"5",5,"HOBBIES_1_005","HOBBIES_1","HOBBIES","CA_1","CA_1",1801,1.87019730010384,0.406275282169492,0.46529705719045,"Intermittent",0,0,1.02665186007773,1,2,9,109.44,"Com_lg"
"6",6,"HOBBIES_1_006","HOBBIES_1","HOBBIES","CA_1","CA_1",1484,2.27300613496933,0.48409735070358,0.560646900269542,"Intermittent",0,0,1.10646900269542,0,2,10,16.32,"ARIMA_bu"
"7",7,"HOBBIES_1_007","HOBBIES_1","HOBBIES","CA_1","CA_1",1383,3.90677966101695,0.142490447035379,0.744034707158351,"Intermittent",0,0,0.306579898770788,0,1,3,86.68,"RF_l"
"8",8,"HOBBIES_1_008","HOBBIES_1","HOBBIES","CA_1","CA_1",1913,1.38824383164006,0.86576239729214,0.279665446941976,"Lumpy",0,0,7.22948248823837,4,10,91,109.44,"MLP_l"
"9",9,"HOBBIES_1_009","HOBBIES_1","HOBBIES","CA_1","CA_1",1913,2.16818181818182,0.787949568457589,0.539989545216937,"Lumpy",0,0,1.18609513852588,0,2,20,44.25,"ES_bu"
"10",10,"HOBBIES_1_010","HOBBIES_1","HOBBIES","CA_1","CA_1",1911,2.08396946564885,0.266303074162226,0.52014652014652,"Intermittent",0,0,0.720041862899006,0,1,6,56.43,"Com_lg"
"11",11,"HOBBIES_1_011","HOBBIES_1","HOBBIES","CA_1","CA_1",1459,11.2558139534884,0.0882660620412617,0.911583276216587,"Intermittent",0,0,0.0973269362577108,0,0,3,3.48,"Naive"
"12",12,"HOBBIES_1_012","HOBBIES_1","HOBBIES","CA_1","CA_1",1912,3.19230769230769,0.161525025045959,0.687238493723849,"Intermittent",0,0,0.394351464435146,0,1,3,32.6,"Naive"
