Feature,Gain,Cover,Frequency
total_item_state_sales,0.870509571125212,0.139886403621521,0.0751054852320675
rolling_mean_lag7_t30,0.0203203258032414,0.00899243857986081,0.00961341087923366
day_year,0.0172906005494299,0.0544827707743686,0.378788915497776
Max,0.015238144184572,0.0887837343238148,0.208244953814574
rolling_mean_lag_t28_total_item_state_sales,0.0143783115750275,0.077552170004696,0.0359219979473144
rolling_mean_lag1_t7,0.011383596809996,0.0149493872296918,0.0162162162162162
total_store_sales,0.00928107881534827,0.100391752848622,0.0261717413616148
rolling_mean_lag7_t60,0.00847805730992142,0.0106310306687043,0.00896339377352036
rolling_sd_lag7_t30,0.00474585656856416,0.00131592960831059,0.00232637700992131
rolling_mean_lag_t28_total_state_sales,0.00409344718174156,0.0198583578824172,0.00753791766449994
total_state_sales,0.0036117321010964,0.0534855813399177,0.015224084844338
mean_last_2_monts,0.00310979265744579,0.00619534934608013,0.00320447029307789
rolling_mean_lag28_t30,0.00217034369935202,0.0401228104681001,0.0151214505644885
rolling_mean_lag1_t120,0.00172704288468005,0.0130123003569751,0.00505188733036834
rolling_mean_lag_t28_total_store_sales,0.00153288059259354,0.0519167444934356,0.0136959744554681
lag_t7_total_item_state_sales,0.00143553726440682,0.020563728600621,0.00670543961683202
lag_t1,0.00137594915550984,0.0299528628927722,0.00898620139126468
rolling_mean_lag7_t7,0.00104253275079536,0.00510299954976717,0.0047553882996921
day_quarter,0.00100061494282855,0.000461782385026736,0.0345991561181435
rolling_mean_lag7_t90,0.00055126745146277,0.00160410729848953,0.00177899418405748
lag_t7,0.000442203792592518,0.0123245438062396,0.00323868171969438
rolling_sd_lag28_t30,0.000394474618532998,0.00277389116529268,0.00205268559698939
Mean,0.000360150736646035,0.00193281613818899,0.00260006842285323
CV2,0.000314523177234252,0.00355349562146003,0.00325008552856654
mean_last_total_store_sales,0.000305858934779178,0.00263088921776289,0.00285095221804083
mean_last_total_item_sales,0.000259623917500048,0.0111940200395359,0.00354658455924279
lag_t2,0.000249774082349136,0.0169183254108207,0.00525715589006728
year,0.000234277618275477,0.00183057391266509,0.0018018018018018
Up25,0.000234144613948211,0.00336227854197048,0.00650017105713308
lag_t28_total_item_state_sales,0.000223279539161216,0.00807879324492185,0.00249743414300376
total_sales,0.000216555599929227,0.0281774930216236,0.0047553882996921
sell_price_roll_sd7,0.000209430700737597,6.51915064678955e-05,0.000878093283156574
mean_last_month,0.000189276437823499,0.00359598646804794,0.00228076177443266
rolling_max_lag28_t30,0.000160849443251413,0.00123244266515879,0.000809670429923595
rolling_mean_lag_t28_total_item_sales,0.000154000653795812,0.00470713064535491,0.00363781503022009
pz,0.000151977149604858,0.00915246269053315,0.00260006842285323
ADI,0.000147530082363175,0.00745088485765686,0.00289656745352948
week_year,0.000140302722105769,1.61675890646915e-05,0.00648876724826092
lag_t6,0.000138138671107537,0.00879955934116883,0.00218953130345535
sell_price,0.000130361935431252,0.00361057429627006,0.00345535408826548
rolling_mean_lag28_t180,0.000115178867258413,0.000695928798177258,0.00126582278481013
sell_price_rel_diff,0.00010669962285445,0.00671132531595852,0.00150530277112556
mean_last_total_state_sales,0.000104913943321281,0.00116949284243322,0.000524575208119512
rolling_mean_lag28_t60,0.000103996694142564,0.00164268962441946,0.00135705325578743
