"Feature","Gain","Cover","Frequency"
"rolling_mean_lag7_t30",0.21375170495439,0.0288828212519479,0.00824339168203485
"rolling_mean_lag1_t7",0.170749419457204,0.0365483280999974,0.00641432616823372
"rolling_sum_lag7_t7",0.103381199328688,0.0169918476832357,0.00634882244459897
"rolling_mean_lag7_t7",0.0700010705587203,0.022896636271602,0.00758079632372948
"rolling_mean_lag7_t60",0.050758145491496,0.0210154810331673,0.0123071419213754
"lag_t1",0.0484136416367558,0.0375404167815824,0.00229514970120225
"mean_last_2_monts",0.0343934592126426,0.00923385454016962,0.00742963388457236
"lag_t2",0.0233581620139779,0.022149607704858,0.00338603863711945
"rolling_mean_lag7_t120",0.0204868640814502,0.0130875225642508,0.0116898952948171
"mean_last_month",0.019813688179997,0.007204598682189,0.00583990889943667
"rolling_mean_lag7_t90",0.0167568271642168,0.0113576803541589,0.00945269119529179
"rolling_mean_lag1_t120",0.0164532704333957,0.0190228940770179,0.0110121836925961
"rolling_sd_lag7_t30",0.0116579005252593,0.0156643996510284,0.0093267224959942
"day_year",0.00996755443784667,0.0411033811354039,0.0172274793159396
"rolling_mean_lag28_t30",0.00907273430549836,0.010803817363861,0.00999183722828552
"rolling_max_lag7_t7",0.00727100199242138,0.0135368277598902,0.00577440517580192
"lag_t3",0.00643351154408363,0.0158853393297696,0.00318196934425734
"lag_t7_total_item_sales",0.00542713652433139,0.0166108757770475,0.00791083431588919
"rolling_mean_lag7_t180",0.0051377931408993,0.00985414786060024,0.00679475164011246
"lag_t6",0.00493665677142381,0.0078455428096249,0.00429049389807621
"lag_t4",0.00465019615771495,0.00866354534315458,0.0028166601162943
"rolling_mean_lag28_t180",0.00455285991710814,0.0153143020286169,0.0126019086777318
"day_quarter",0.00437223746932165,0.0229842157608041,0.0157561649081436
"mean_last_total_item_sales",0.00427294804681685,0.0130544686768997,0.00997924035835576
"week_year",0.00371394414993459,0.0208901160588283,0.0132443490441495
"rolling_sd_lag7_t7",0.00357596975197816,0.012592279903196,0.00798641553546775
"lag_t7_total_item_state_sales",0.00316192466784212,0.00875300719050709,0.0063311868266973
"rolling_mean_lag28_t120",0.00303098294802035,0.0100565074440226,0.010855982505467
"rolling_max_lag7_t30",0.0029980183980403,0.00992815706613799,0.00527304975259747
"rolling_mean_lag_t28_total_item_state_sales",0.00273466496319465,0.0112561831082589,0.0146098497445355
"rolling_mean_lag28_t90",0.00253308795159968,0.0119688063510309,0.0102588908707964
"rolling_mean_lag_t28_total_item_sales",0.00250996855103645,0.0132163059590667,0.0120577238967661
"rolling_mean_lag28_t60",0.00243692066121969,0.0096402166992128,0.00939222621962895
"lag_t5",0.00208645791638647,0.00672427676041128,0.00346161985669801
"lag_t7",0.00205862211197699,0.00660568191848208,0.0033255736614566
"rolling_sd_lag28_t30",0.00190670471690821,0.00716709611975931,0.0093997843415868
"rolling_mean_lag_t28_total_sales",0.00180817481896203,0.00693021780784013,0.0126447380354929
"sell_price",0.00172440226000149,0.00830603718631096,0.00804939988511655
"diff_from_mean_price",0.00169370972312056,0.0112605189674174,0.00666878294081487
"rolling_mean_lag_t28_total_cat_sales",0.00159612913616383,0.00593971659340079,0.00995152724451028
"mean_last_total_cat_sales",0.00146924079378369,0.00406878071150389,0.0113044310749665
"lag_t28_total_cat_sales",0.00146020948219425,0.00449004124284182,0.0107501687980571
"rolling_sd_lag28_t7",0.00143439407256772,0.00573725008010642,0.00827614354385222
"lag_t28_total_item_sales",0.001426220934206,0.0054521868134437,0.00671665104654795
"lag_t7_total_cat_sales",0.0014187005295911,0.00352435619537586,0.0108962924892423
"sell_price_to_mean",0.00141615469372144,0.00604838363436975,0.00922090878858421
"rolling_sum_lag28_t7",0.00138747866946377,0.00523286010805613,0.00548467716741744
"rel_diff_from_mean_price",0.00138236135280561,0.00990658607362868,0.00522014289889248
"rolling_mean_lag_t28_total_dept_sales",0.00137528716745694,0.00442006535359537,0.00903699448760972
"day_month",0.00136856799046529,0.00895515801542705,0.0082408723080489
"rolling_mean_lag28_t7",0.00136304787642933,0.00602911506763649,0.00710211526639861
"sell_price_to_max",0.00135592438440451,0.00777267785181839,0.00878001834104262
"lag_t28_total_store_sales",0.00133147462450999,0.00439406295174836,0.0108156725216918
"mean_last_total_store_sales",0.00129737099223807,0.00518991962208072,0.011382531668531
"event_name_1",0.00129138190156317,0.0161812331209542,0.00232286281504772
"lag_t7_total_state_dept_sales",0.00128256039736046,0.00410324725037511,0.0111482298878375
"lag_t28_total_store_cat_sales",0.00127352332600696,0.00425222861890342,0.0107904787818323
"mean_last_total_store_cat_sales",0.00126283524656619,0.00382672620897339,0.011067609920287
"rolling_mean_lag_t28_total_store_dept_sales",0.00125668455051721,0.0040139423643026,0.0097197448378027
"mean_last_total_dept_sales",0.00124441325522688,0.00302443275274968,0.00889590954439641
"ADI",0.00122944446770961,0.00334167210080516,0.0109290443510596
"rolling_mean_lag_t28_total_state_sales",0.00122911831128021,0.00374139832933298,0.00899416512984853
"lag_t28_total_sales",0.00122529390582464,0.00392197247189723,0.00927885439026111
"rolling_max_lag28_t7",0.0012249324017812,0.00425217368245541,0.00533351472826032
"rolling_max_lag28_t30",0.00120367340867629,0.0065002157104156,0.00679727101409842
"CV2",0.00118230781968844,0.00400145393626071,0.0111154780260201
"sell_price_to_max_lead_2",0.00117297744563423,0.00612604572129638,0.00882032832481785
"mean_last_total_store_dept_sales",0.00115852478436798,0.00450295542835573,0.00952323366689845
"mean_last_total_item_state_sales",0.00115835132283142,0.00409947802143742,0.00687789098164888
"lag_t28_total_store_dept_sales",0.00113238903032615,0.00388717651053961,0.00910249821124447
"lag_t7_total_store_cat_sales",0.00112685561534909,0.00422100529248028,0.0106972619443521
"pz",0.00111952861969243,0.00323659829593868,0.00969958984591509
"lag_t28_total_state_cat_sales",0.00110325561380288,0.00401332099383539,0.0100951315617095
"lag_t7_total_state_cat_sales",0.00108298639676909,0.0029447945233078,0.00810986486077939
"lag_t14",0.00107418451035388,0.00658345796704796,0.00469611310981447
"lag_t28_total_dept_sales",0.00106845907600785,0.00276857939169085,0.00823331418609104
"mean_last_total_state_sales",0.00105872087625429,0.00394008305678726,0.00929900938214872
"lag_t7_total_store_sales",0.00105823371255453,0.00331862783048141,0.00905714947949733
"meanl_last_total_sales",0.00103292965308346,0.00288548297582801,0.00829629853573984
"mean_last_total_state_cat_sales",0.00101868018996103,0.00306371113586101,0.00852304219447552
"lag_t28_total_state_dept_sales",0.00101443836460096,0.00329639367656409,0.00834668601545888
"lngth",0.00100816997168912,0.00360095898986407,0.00930908687809253
"lag_t7_total_sales",0.00100269108754104,0.00322810355146488,0.00915540506494946
"sell_price_to_min_lead_1",0.00100029893567301,0.0040353187248247,0.00751781197408068
"rolling_mean_lag_t28_total_store_sales",0.000998899799668454,0.00420636335567674,0.00908738196732876
"lag_t7_total_store_dept_sales",0.000993387097596089,0.0048498918505879,0.00828874041378198
"mean_last_total_state_dept_sales",0.00099317394420879,0.00300173340483874,0.0083139341536415
"sell_price_to_max_lead_1",0.000962451275809337,0.00491428207648382,0.00642440366417753
"rolling_mean_lag_t28_total_store_cat_sales",0.000958755913235427,0.00395347244257638,0.00863893339782931
"dollar_sales",0.000948958112620255,0.00234273205934801,0.0083139341536415
"lag_t7_total_state_sales",0.000944979687437549,0.00287215186191409,0.00770676502302708
"rolling_mean_lag_t28_total_state_dept_sales",0.000942323952478361,0.00353735592478737,0.00829881790972579
"lag_t28_total_state_sales",0.000935138448787093,0.00367046183705291,0.00809726799084963
"lag_t8",0.000912203187905671,0.00442467628739708,0.00384456470256271
"Mean",0.000872375584598162,0.00276115983198508,0.00776974937267588
"lag_t7_total_dept_sales",0.000822159472692174,0.00303151111787305,0.00660075984319416
"sell_price_to_min_lead_2",0.000809139550469556,0.00335045997046936,0.00649746550977013
"sell_price_rel_diff",0.00079670442793453,0.0064237535924746,0.00168042244862996
"sell_price_cumrel",0.00078937472043263,0.00352548690519669,0.00557789400489766
"Max",0.000784093166444973,0.0022405357471472,0.006714131672562
"month",0.000780455080179714,0.00559889518643595,0.00521762352490653
"mean_previous_month",0.000740249151262638,0.00297339227991968,0.00481452368715422
"wday_rbf_1",0.000734630992759072,0.00252681075489155,0.00314669810845401
"sell_price_diff",0.000734570659604105,0.00522178609734867,0.00155697312331832
"sell_price_to_min",0.000730874095434046,0.00384452483331941,0.0065201398756437
"lag_t28_total_item_state_sales",0.000718952819595537,0.00334555218364685,0.00536374721609175
"wday",0.000717352768269714,0.00626730184802611,0.00308371375880521
"rolling_mean_lag_t28_total_state_cat_sales",0.00066273095253382,0.00197144780336166,0.00543177031371245
"sell_price_roll_sd7",0.000654908173964642,0.00310707482868763,0.00201801856274753
"month_rbf_12",0.000631905951908585,0.00144891330354455,0.00368836351543368
"lag_t21",0.000619463378657532,0.00321171286980049,0.00394785903598674
"week_quarter",0.000611915040654671,0.00377406864255615,0.00452983442674164
"sell_price_diff_to_max_diff",0.000591720959882952,0.00460499752609893,0.00167790307464401
"lag_t35",0.000562003109963798,0.00256860581592614,0.00481956243512612
"wday_s1",0.000530018151693751,0.00170939152871869,0.00246646713224698
"wday_rbf_4",0.000529443744651939,0.00225367772271871,0.00167790307464401
"lag_t42",0.000512819725683239,0.00238282899553456,0.00388487468633794
"wday_rbf_6",0.00049847433182828,0.00204718907662425,0.00190212735939374
"month_rbf_9",0.00048471595622481,0.00152772160021841,0.00288720258790096
"best_price",0.000479675682884156,0.00238167709594093,0.000735657203897975
"wday_rbf_5",0.000476588148998548,0.00221651380425064,0.00221201035966583
"month_rbf_11",0.000471390340823389,0.00174195981710985,0.00326006993782185
"month_rbf_1",0.000463797338836687,0.00198209291737151,0.00312150436859449
"wday_rbf_7",0.000459920063795195,0.00216363825785579,0.00227751408330058
"wday_c1",0.000455596711431472,0.00369941923119759,0.00227247533532868
"lag_t49",0.000443210882268363,0.00266730817003406,0.00421995142646955
"month_rbf_2",0.000440768831840725,0.00154499754350201,0.00317693059628544
"month_rbf_7",0.000435017047200349,0.00124021719324843,0.00254960647378339
"wday_s3",0.000410227761686698,0.00140141446579623,0.00234805655490724
"cultural_value",0.000393623908454072,0.00551712542281163,0.00161743809898117
"month_c1",0.000391890361481169,0.00133166754381698,0.00265038143322147
"rolling_min_lag7_t7",0.000388865505582124,0.00228907464957715,0.00168798057058782
"month_rbf_4",0.00038568358482818,0.00143057532100012,0.00279398575042074
"lag_t28",0.000382042875476996,0.00198916108001168,0.00352208483236086
"month_rbf_3",0.000369035586902049,0.00114383021422216,0.0030056131652407
"wday_s2",0.000363367952692888,0.00240949279297519,0.00270832703489837
"month_rbf_10",0.000353949123825445,0.00118340545035429,0.00258487770958672
"month_rbf_5",0.000347463107189508,0.00137753810448687,0.0027486370186736
"weekend",0.000347334741695475,0.000847159464701566,0.000544184780965626
"wday_rbf_3",0.000336311753318888,0.00142685788928483,0.00185425925366065
"wday_rbf_2",0.000321735776776702,0.000981793983632739,0.00215658413197489
"year",0.00032121959799203,0.00268783713584575,0.00243623464441556
"month_rbf_8",0.000312676370324384,0.00104010706117011,0.00234553718092128
"month_rbf_6",0.000301343692034371,0.00110609495669487,0.00235561467686509
"wday_c3",0.000285576916769998,0.000960149611725029,0.00180135239995566
"month_s1",0.000274087891969628,0.00101859689115681,0.00235057592889319
"Up25",0.000219708603771854,0.00088087219702556,0.00218681661980631
"month_c2",0.000209771045833212,0.000523484115561137,0.00137305882234382
"wday_c2",0.000203542106965469,0.00080361094996774,0.00147887252975381
"rolling_min_lag28_t7",0.000200249159208325,0.00108266044138872,0.0012118188872429
"month_quarter",0.000191411317077845,0.000410185343420867,0.00138061694430168
"week_month",0.000188063664363605,0.000869675560318096,0.00146123691185214
"week_events",0.000164690776194999,0.000631164458683675,0.00137557819632978
"quart",0.000160372231646845,0.000622370114366668,0.00142596567604882
"religious_value",0.000148644675379057,0.000720414996912979,0.0014738337817819
"month_s3",0.000144967941116438,0.000487051244254679,0.00134534570849835
"rolling_min_lag7_t30",0.000134082974428738,0.000620638242843427,0.000680230976207032
"month_s2",0.00012716788056732,0.000399956176803026,0.00107829206598744
"national_value",0.000126387204257828,0.000695963961117202,0.000954842740675797
"national_event",0.00012134701747201,0.00127528548242686,0.000458526065443259
"month_c3",0.000120539535939616,0.000221676023346024,0.000896897138998902
"snap",0.000116302127802569,0.00259980285133487,0.000667634106277272
"event_type_1",0.000106411966758037,0.00125642756564241,0.000642440366417753
"snap_WI",0.000100224274021705,0.000611464837035211,0.000730618455926071
"snap_TX",9.93812731256655e-05,0.000629983913656447,0.000647479114389656
"has_event",9.63389835628544e-05,0.000425448454490027,0.000531587911035866
"Median",9.46786596730271e-05,0.000479072313787291,0.00098507522850722
"snap_CA",6.72524103450053e-05,0.000406778695039987,0.000516471667120154
"has_event_lead_t1",6.66740035712504e-05,0.000594156716689203,0.000410657959710171
