"Feature","Gain","Cover","Frequency"
"rolling_mean_lag1_t7",0.233709238068525,0.046071412771267,0.00731619946206201
"rolling_mean_lag7_t7",0.134703172917596,0.0249783870805471,0.00888265544647031
"rolling_mean_lag7_t30",0.132501383772461,0.0323039508324666,0.00955963157926692
"rolling_mean_lag7_t60",0.0676945858791771,0.0169429778071128,0.0096476688342046
"lag_t1",0.0669851896767955,0.0333590162444148,0.00226771825649806
"mean_last_2_monts",0.0405297923577981,0.0111542330487437,0.00952927390515048
"rolling_sd_lag7_t30",0.0304443318265329,0.0175132420638033,0.0101546419919491
"rolling_mean_lag7_t90",0.0270151777832035,0.0128857033949899,0.0105189340813464
"rolling_sum_lag7_t7",0.0207725234409957,0.0161126251373848,0.00552206092178042
"lag_t2",0.0190919921166365,0.0228978183799649,0.00383417424090636
"rolling_mean_lag7_t120",0.0170446728289982,0.0136894626963956,0.00932891325598198
"mean_last_month",0.0151206534437935,0.00706906171008981,0.00501812353144751
"rolling_mean_lag1_t120",0.0132442805591163,0.0138516085489311,0.00791120987474424
"rolling_mean_lag28_t30",0.0077623327575177,0.012302451140236,0.0107375093349848
"rolling_max_lag7_t7",0.00745149358841928,0.011100453830008,0.00504544543815231
"day_year",0.00743616064689843,0.0451568434574873,0.0170822632253207
"rolling_mean_lag28_t120",0.00690151524903992,0.00957753425157636,0.00881890433082579
"lag_t3",0.0065237661929923,0.0121463860377943,0.0034850609885673
"rolling_mean_lag28_t180",0.0052879471084892,0.014611881909841,0.0113719847240184
"rolling_mean_lag7_t180",0.00433963079466189,0.0149000475806555,0.00838175382354906
"lag_t7_total_item_state_sales",0.00419767296636235,0.00965485121229798,0.00794763908368396
"rolling_sd_lag7_t7",0.00365398770937962,0.00998245134907857,0.00711280304548187
"mean_last_total_item_sales",0.00342091733821617,0.0155464653077009,0.0121734273206924
"rolling_mean_lag28_t60",0.00332496720536656,0.0113422326430701,0.00925909060551417
"rolling_max_lag7_t30",0.0032411557827106,0.0088095803413185,0.00661493718997225
"day_quarter",0.00305400297419861,0.0178159167132717,0.0116421680236547
"lag_t6",0.00303602752543545,0.00799480009215254,0.00550081054989891
"lag_t7_total_item_sales",0.00277173149832037,0.0138717746578642,0.0077776361086319
"lag_t4",0.00254998692026652,0.00688868580830444,0.00336363029210154
"rolling_mean_lag28_t7",0.00236127821789374,0.00759072730603218,0.00692458546595994
"rolling_mean_lag_t28_total_item_sales",0.00227408933624686,0.0103343434956143,0.0122007492273972
"week_year",0.00226544777647049,0.0156324801397795,0.00904658688669909
"rolling_mean_lag28_t90",0.00223199991374992,0.01056908475369,0.0121643200184575
"rolling_mean_lag_t28_total_sales",0.00214710533897504,0.00796058449541298,0.015212230499748
"rolling_sd_lag28_t30",0.00188472293691476,0.00754115109863791,0.00993606673831078
"rolling_mean_lag_t28_total_item_state_sales",0.00182466648090156,0.00916795294374095,0.0105280413835814
"rel_diff_from_mean_price",0.0017267104893698,0.0114368860494924,0.00691851393113665
"diff_from_mean_price",0.00161336737156021,0.00885210435248857,0.00595617566164551
"lag_t5",0.00159931741717417,0.00618445837376782,0.00386756768243444
"lag_t7",0.00153034322754012,0.00496470490235461,0.00432293279418104
"sell_price",0.00147825207741692,0.00924726013672571,0.00871265247141825
"rolling_sum_lag28_t7",0.00145785513710586,0.00576141151949489,0.00709155267360036
"lag_t28_total_item_sales",0.001383122633516,0.00649950828549626,0.00840907573025385
"event_name_1",0.00134682010063576,0.0197759663086299,0.00260772420660219
"rolling_sd_lag28_t7",0.00130561673766035,0.00614434772663433,0.010224464642417
"lag_t28_total_store_dept_sales",0.00130273473401144,0.00558864491303337,0.0131388013575952
"rolling_max_lag28_t30",0.00127677063596849,0.00517292380211155,0.00603206984693661
"Max",0.00124221996304962,0.0125007667067208,0.0079294244792141
"sell_price_to_mean",0.00123240368516575,0.00572962807638047,0.0094199862783313
"lag_t7_total_state_sales",0.00120480187500714,0.00351399664099062,0.0107405451023964
"mean_last_total_dept_sales",0.00120327117082915,0.00363731100253821,0.0108559042640389
"mean_last_total_store_sales",0.00116086571423163,0.00473930158174988,0.0119518162996424
"day_month",0.00115824960064009,0.00789205203337216,0.00728584178794557
"lag_t7_total_store_dept_sales",0.00115487509065526,0.00492976407630092,0.0113355555150787
"lag_t28_total_cat_sales",0.00114780863816433,0.00423694655840967,0.00974481339137721
"lag_t7_total_cat_sales",0.00112633160231228,0.00343248374552591,0.00981160027443337
"ADI",0.00111982432534052,0.00292692375522347,0.010974299193093
"pz",0.00110005309095622,0.00351814328356633,0.0113871635610766
"mean_previous_month",0.00109807944260477,0.00454994523271733,0.00720084030041954
"lag_t7_total_state_dept_sales",0.00109760539676289,0.00365715280805318,0.0105401844532279
"mean_last_total_store_dept_sales",0.00109610489747774,0.00502853777107079,0.0109439415189766
"mean_last_total_state_cat_sales",0.00106961120626815,0.00386445663044539,0.0101182127830094
"lag_t7_total_store_sales",0.00106129071959925,0.00378893590558558,0.0105796494295793
"wday_rbf_1",0.00105759084771213,0.00314133150621357,0.00392828303066732
"rolling_mean_lag_t28_total_store_dept_sales",0.00103930152880073,0.0034840643383799,0.00981463604184502
"sell_price_to_max_lead_1",0.00103403854774862,0.00601240259940322,0.00791728140956752
"rolling_mean_lag_t28_total_cat_sales",0.00102438791987597,0.00472391217666075,0.00821782238332028
"mean_last_total_store_cat_sales",0.00100077012029545,0.00347768222280731,0.00948373739397582
"lag_t28_total_state_sales",0.000996610635387733,0.00372448542065336,0.00952016660291555
"lag_t8",0.000984429973380931,0.00396995187348501,0.00314809080587482
